clientID;Nom client;Ville;ISO #
1; Helvetia Solutions             ; Genäve             ;756
2; AlpTech Innovations            ; Zurich             ;756
3; Swiss Finances SA              ; Lausanne           ;756
4; Montreux MÇdias                ; Montreux           ;756
5; HauteRive Consulting           ; BÉle               ;756
6; Innotech Suisse                ; Berne              ;756
7; Swiss Health Solutions         ; NeuchÉtel          ;756
8; ênergie du LÇman               ; Lausanne           ;756
9; Lucerne Life Sciences          ; Lucerne            ;756
10; LacAlpes Architecture          ; Fribourg           ;756
11; Zurich Business Dynamics       ; Zurich             ;756
12; SwissPeak IT                   ; Genäve             ;756
13; AlpenCafÇ Distribution         ; Lugano             ;756
14; Helios Consulting              ; BÉle               ;756
15; JuraTech Industries            ; NeuchÉtel          ;756
16; SolarGen Europe                ; Paris              ;250
17; NovaBio Technologies           ; Lyon               ;250
18; MÇtroTech                       ; Toulouse           ;250
19; Horizon Vert                   ; Marseille          ;250
20; AlpinÇa Construction           ; Nice               ;250
21; Lumiere Industries             ; Nantes             ;250
22; Horizon Durable                ; Bordeaux           ;250
23; NordicWave Design              ; Stockholm          ;752
24; Vortex Systämes                 ; Lyon               ;250
25; TechSphere GmbH                ; Berlin             ;276
26; AlpAir Technologies            ; Innsbruck          ;40
27; TransAlp Logistique            ; Bruxelles          ;56
28; PeakIT Solutions               ; Amsterdam          ;528
29; Rhein Consulting               ; Francfort          ;276
30; MedicoVision                   ; Milan              ;380
31; Cybersoft Ltd                  ; Londres            ;826
32; MontLine Design                ; Vancouver          ;124
33; NordAir Systämes               ; Oslo               ;578
34; ClearVision Medical            ; New York           ;840
35; AlphaTech Industries           ; San Francisco      ;840
36; DataPoint Inc.                 ; Chicago            ;840
37; MetroCity Logistics            ; Los Angeles        ;840
38; StarMedia Technologies         ; Toronto            ;124
39; Granite Data Systems           ; Boston             ;840
40; êtoile du Nord                 ; MontrÇal           ;124
41; AlgorTech                      ; Seattle            ;840
42; LumenAir                        ; Ottawa             ;124
43; Innovateur SARL                ; Dubaã              ;784
44; SunPower Corp.                 ; Dubaã              ;784
45; AeroSwiss                      ; Genäve             ;756
46; GrandTech                      ; Zurich             ;756
47; HelveticNet SÖrl               ; Lausanne           ;756
48; BaselLab Solutions             ; BÉle               ;756
49; Alpik Industries               ; Berne              ;756
50; Indigo Labs                    ; Munich             ;276
51; EuroMedia                     ; Barcelone          ;724
52; GreenGenie Consulting          ; Genäve             ;756
53; BluRiver Architecture          ; Lucerne            ;756
54; NordNova                       ; Stockholm          ;752
55; Future Energy Co.              ; Bruxelles          ;56
56; NeoAlps AG                     ; Zurich             ;756
57; NovaSuisse Technologies        ; Zurich             ;756
58; HydroTec                       ; Berne              ;756
59; AlpenVista                     ; Zurich             ;756
60; AlpiLife                       ; Lausanne           ;756
61; Hexagonale Systämes            ; Paris              ;250
62; VisionDigit                    ; Genäve             ;756
63; Polaris Business Solutions     ; Vancouver          ;124
64; HighTech SÖrl                  ; Genäve             ;756
65; MontSmart Consulting           ; Lucerne            ;756
66; CleanWave Technologies         ; Toronto            ;124
67; SkyLine Architecture           ; Dubaã              ;784
68; PeakOptics                     ; Zurich             ;756
69; AlpComm Solutions              ; Berne              ;756
70; Solaris Systems                ; Amsterdam          ;528
71; EuroFuture Corp.               ; Bruxelles          ;56
72; AlpenScience AG                ; Genäve             ;756
73; EcoTechnologies                ; Munich             ;276
74; êlectroGlobal                  ; Paris              ;250
75; DigiPeak                       ; Genäve             ;756
76; CloudCom Solutions             ; Londres            ;826
77; Lumea Technologies             ; Madrid             ;724
78; RocheSter Industries           ; Bruxelles          ;56
79; NextGen Europe                 ; Lyon               ;250
80; AlpineWave                    ; Zurich             ;756
81; SwissNova GmbH                 ; Zurich             ;756
82; UniHealth                      ; Genäve             ;756
83; SummitPeak Technologies        ; Zurich             ;756
84; InnovSuisse                    ; Lausanne           ;756
85; Helvetic Solutions             ; BÉle               ;756
86; Genevoise Conseil              ; Genäve             ;756
87; Logiciel Alpin                 ; Fribourg           ;756
88; Visia Industries               ; Milan              ;380
89; PeakTech Europe                ; Stockholm          ;752
90; MontHorizon                    ; Zurich             ;756
91; GlobalHub Solutions            ; Toronto            ;124
92; GeoMed Technologies            ; Dubaã              ;784
93; NuVision Technologies          ; San Francisco      ;840
94; SmartPeak                      ; Zurich             ;756
95; SwissEco Power                 ; Lausanne           ;756
96; UrbanAir Systämes              ; Genäve             ;756
97; ValleyTech                     ; Boston             ;840
98; AlphaVision SÖrl               ; Lausanne           ;756
99; MontBleu Design                ; Vancouver          ;124
100; Next Horizon Co.               ; Dubaã              ;784
101; PureAlps Industries            ; Zurich             ;756
102; InnoWave                       ; Amsterdam          ;528
103;IvoryVine Beverages;Bruxelles;NON TROUVE
104;BlazeHaven Gaming;Bruxelles;NON TROUVE
